Station_Id,Address,Long,Lat
1,W 52 St & 11 Ave,-73.99392888,40.76727216
2,Franklin St & W Broadway,-74.00666661,40.71911552
3,St James Pl & Pearl St,-74.00016545,40.71117416
4,Atlantic Ave & Fort Greene Pl,-73.97632328,40.68382604
5,W 17 St & 8 Ave,-74.00149746,40.74177603
6,Park Ave & St Edwards St,-73.97803415,40.69608941
8,Barrow St & Hudson St,-74.00674436,40.73172428
9,MacDougal St & Prince St,-74.00297088,40.72710258
10,E 56 St & Madison Ave,-73.972924,40.761628
12,Nassau St & Navy St,-73.98068914,40.69839895
13,Hudson St & Reade St,-74.0091059,40.71625008
14,Greenwich St & Warren St,-74.01121978,40.71542197
15,E 2 St & Avenue C,-73.98085795,40.7208736
17,Warren St & Church St,-74.00910627,40.71473993
18,E 40 St & 5 Ave,-73.9816324043,40.752062307
19,Henry St & Atlantic Ave,-73.99612349,40.69089272
20,E 37 St & Lexington Ave,-73.978311,40.748238
21,LaGuardia Pl & W 3 St,-73.99810231,40.72917025
22,E 47 St & 2 Ave,-73.97032517,40.75323098
24,W 18 St & 6 Ave,-73.99456405,40.73971301
25,Broadway & W 49 St,-73.98442659,40.76064679
26,E 25 St & 1 Ave,-73.97738662,40.7381765
28,W 16 St & The High Line,-74.00681753,40.74334935
29,Columbia Heights & Cranberry St,-73.99548059,40.70037867
30,Old Fulton St,-73.99383605,40.70277159
32,W 13 St & 7 Ave,-73.99994661,40.73781509
33,Spruce St & Nassau St,-74.00552427,40.71146364
34,W 14 St & The High Line,-74.00803013,40.74195138
35,E 48 St & 3 Ave,-73.971878855,40.7546011026
36,Great Jones St,-73.99379025,40.72743423
38,Joralemon St & Adams St,-73.98963911,40.69246277
39,St Marks Pl & 2 Ave,-73.98713956,40.7284186
40,E 11 St & 2 Ave,-73.98672378,40.73047309
41,Bank St & Washington St,-74.00859207,40.7361967
42,Willoughby St & Fleet St,-73.9813018,40.69196566
44,Flushing Ave & Carlton Ave,-73.97350332,40.69788349
45,Fulton St & Rockwell Pl,-73.979382,40.688226
46,Willoughby Ave & Hall St,-73.96536851,40.69196035
48,Perry St & Bleecker St,-74.00483091,40.73535398
49,Laight St & Hudson St,-74.00771779,40.72185379
50,Harrison St & Hudson St,-74.0090009,40.71870987
51,Lafayette St & Jersey St,-73.99565293,40.72456089
53,MacDougal St & Washington Sq,-73.99852205,40.73226398
54,W 13 St & 5 Ave,-73.99453948,40.73543934
55,W 11 St & 6 Ave,-73.99800419,40.73532427
56,Lispenard St & Broadway,-74.00247214,40.71939226
58,South St & Whitehall St,-74.01234218,40.70122128
59,Broad St & Bridge St,-74.01167797,40.70365182
60,Johnson St & Gold St,-73.98362464,40.69474881
61,Washington Park,-73.97372989,40.69178232
63,Maiden Ln & Pearl St,-74.00731853,40.70706456
64,Stanton St & Chrystie St,-73.99147535,40.72229346
65,Avenue D & E 8 St,-73.97574813,40.72368361
66,Broadway & W 36 St,-73.98765428,40.75097711
68,Adelphi St & Myrtle Ave,-73.97178913,40.69308257
69,Ashland Pl & Hanson Pl,-73.97805813,40.68528172
70,Lafayette Ave & Fort Greene Pl,-73.976682,40.68691865
72,Duane St & Greenwich St,-74.0104554,40.71748752
74,Sands St & Gold St,-73.98271933,40.69986937
75,E 10 St & 5 Ave,-73.99510132,40.73331967
77,Kent Ave & S 11 St,-73.96834101,40.70827295
78,Greenwich Ave & 8 Ave,-74.0026376103,40.7390169121
79,Broadway & E 14 St,-73.99074142,40.73454567
80,Monroe St & Classon Ave,-73.95881081,40.6845683
81,2 Ave & E 58 St,-73.96478473,40.76020258
82,Madison St & Montgomery St,-73.984844,40.713126
84,Washington Square E,-73.9957214,40.73049393
85,Pike St & E Broadway,-73.99293911,40.71406667
86,Division St & Bowery,-73.9970468,40.71413089
87,E 15 St & 3 Ave,-73.986923,40.734232
89,Shevchenko Pl & E 7 St,-73.990214,40.728145
90,E 2 St & Avenue B,-73.98368779,40.72217444
91,Avenue D & E 3 St,-73.97793172,40.72082834
92,Mercer St & Spring St,-73.99949601,40.72362738
94,E 58 St & 3 Ave,-73.96724467,40.76095756
95,Cliff St & Fulton St,-74.00530063,40.70823502
96,Canal St & Rutgers St,-73.98990025,40.71427487
97,St James Pl & Oliver St,-73.99851193,40.71307916
99,State St & Smith St,-73.98912867,40.68926942
100,Norfolk St & Broome St,-73.98802084,40.7172274
101,Allen St & E Houston St,-73.989111,40.722055
103,Cadman Plaza West & Montague St,-73.990539,40.69383
104,South St & Gouverneur Ln,-74.00670227,40.70355377
105,Fulton St & William St,-74.00653609,40.70955958
106,E 6 St & Avenue B,-73.98185424,40.72453734
108,Park Pl & Church St,-74.00937622,40.71336124
109,Leonard St & Church St,-74.005549,40.717571
110,Cadman Plaza E & Red Cross Pl,-73.98971773,40.69991755
112,Lawrence St & Willoughby St,-73.98631746,40.69236178
113,DeKalb Ave & Hudson Ave,-73.981013,40.689888
114,E 19 St & 3 Ave,-73.98473765,40.73624527
115,E 11 St & 1 Ave,-73.98426726,40.72953837
117,Watts St & Greenwich St,-74.00965965,40.72405549
118,Greenwich St & N Moore St,-74.01020609,40.72043411
119,Reade St & Broadway,-74.00562789,40.71450451
120,Pike St & Monroe St,-73.99193043,40.71173107
121,Cherry St,-73.97948148,40.71219906
123,Washington Pl & Broadway,-73.99404649,40.72903917
124,Sullivan St & Washington Sq,-73.99906065,40.73047747
126,Avenue D & E 12 St,-73.97422494,40.72580614
127,Madison St & Clinton St,-73.98776323,40.71269042
128,Stanton St & Mangin St,-73.97628939,40.71782143
130,Clinton Ave & Flushing Ave,-73.96986848,40.69794
131,Monroe St & Bedford Ave,-73.95380904,40.6851443
132,W 13 St & 6 Ave,-73.99704374,40.73649403
133,Bank St & Hudson St,-74.00618026,40.73652889
135,W Broadway & Spring St,-74.00154702,40.72490985
136,Rivington St & Ridge St,-73.98329859,40.71850211
137,Clinton St & Grand St,-73.9870295,40.71559509
138,Front St & Maiden Ln,-74.00612572,40.70530954
139,W 56 St & 6 Ave,-73.97722479,40.76340613
141,Emerson Pl & Myrtle Ave,-73.96223558,40.69363137
142,Bayard St & Baxter St,-73.99974372,40.71602118
143,Bialystoker Pl & Delancey St,-73.98261206,40.71622644
144,E 11 St & Broadway,-73.99158043,40.73261787
146,E 47 St & Park Ave,-73.97498696,40.75510267
148,Allen St & Hester St,-73.99190759,40.71605866
150,West Thames St,-74.01713445,40.70834698
151,Lafayette Ave & Classon Ave,-73.96023854,40.68900443
152,Fulton St & Grand Ave,-73.9614583,40.68223166
154,E 53 St & Lexington Ave,-73.97069431,40.75828065
155,Carmine St & 6 Ave,-74.00214988,40.73038599
156,Washington Pl & 6 Ave,-74.00026394,40.73224119
157,Franklin Ave & Myrtle Ave,-73.958089,40.694528
159,Mercer St & Bleecker St,-73.99695094,40.72679454
160,John St & William St,-74.00722156,40.70862144
161,6 Ave & Canal St,-74.00566443,40.72243797
162,W 31 St & 7 Ave,-73.9916,40.749156
164,University Pl & E 14 St,-73.99200509,40.73492695
165,Greenwich Ave & Charles St,-74.000271,40.735238
166,Fulton St & Waverly Ave,-73.9659641,40.68317813
167,E 55 St & 2 Ave,-73.96603308,40.75797322
169,Centre St & Chambers St,-74.0046073,40.71273266
170,W 26 St & 10 Ave,-74.002950346,40.749717753
171,Broadway & Berry St,-73.96525063,40.71044554
173,Clark St & Henry St,-73.99344559,40.69760127
174,Jay St & Tech Pl,-73.987167,40.695065
175,E 5 St & Avenue C,-73.97995466,40.72299208
176,E 9 St & Avenue C,-73.97768752,40.72521311
